content,score,at
archive pada hilang gara gara ada lagu yg hilang. padahal moment penting. kalo misalkan bikin fitur mending bikinnya pake konsep sama keamanan yg mumpuni juga,1,2023-11-13 00:05:36
Tidak adanya fitur simpan login. Mau login ulang aja ke akun yg lama aja gk bisa sampe ngarang ngirim kode ke alamat email yg gak pernah ada apa coba . Terakhir kali mau login ke akun pertama malah gak bisa karna harus verifikasi kode ke akun yahoo padahal saya gak punya akun yahoo sekarang sama kirim kode nya ke email siapa coba kalo bisa di perbaiki di sistem login nya percuma juga aplikasi bagus tapi gak pernah terima masukan dari para orang yg mengkritik malah didiemin tolong di baca yaaaaa,1,2023-11-12 21:09:46
"saya kecewa sama instagram tahun ini, akun saya mau ganti user gabisa, tambahkan bio pun gabisa juga , mohon di perbaiki bug nya yang semakij parah ini padahal saya sudah update tetep gabisa",1,2023-11-12 18:19:00
"bugnya kapan di perbaiki ??? upload reels suara gak ada, buat story gak bisa udh 3bulan nih pembaruan terakhir juga sama aja. hapus app download lagi sama aja.",1,2023-11-12 17:32:50
"Kapan relss ada suaranya lagi. Padahal udah update versi terbaru. Kayaknya sinyal bagus. Hp juga ga kentang "" bgt",1,2023-11-12 15:08:50
"Aplikasi ini bagus banget.. bisa untuk komunikasi,hiburan,banyak filter² bagus , dll. Menurutku oke banget.. T.ksi",5,2023-11-12 13:49:58
Ketika meng-upload feed yang menggunakan musik tetapi saat sudah di upload musiknya hilang dan ketika saya melihat feed orang lain tidak ada lagunya di Instagram saya,2,2023-11-12 13:05:19
"Aplikasi ini sungguh luar biasa! Antarmuka yang ramah pengguna membuatnya mudah digunakan, sementara fitur-fitur canggihnya memberikan pengalaman yang memuaskan. Performa aplikasi ini sangat responsif, dengan pengoptimalan yang baik untuk memastikan kelancaran penggunaan. Dari segi desain hingga fungsionalitas, aplikasi ini memenuhi kebutuhan dengan baik. Keberagaman fitur yang disediakan menambah nilai tambah, menjadikannya pilihan yang sangat baik di antara aplikasi sejenis. Overall, good!!",5,2023-11-12 11:42:11
"Habiss di update ig jadi gajelas kurang nyaman, masa keluar keluaran mulu tiba tiba keluar sandi di ganti tapi masuk lagi gabisa ampe masuk 2 kali baru bisa tolong di perbaiki lagi jangan bikin kecewa",3,2023-11-12 10:44:24
"Tolong bug diperbaiki, akun wii_artless tidak bisa berpromosi, kalu saya mengikuti arahan di help, nmun saat saya berikan pnjlsan muncul bug. Tolong krja yg bner",1,2023-11-12 08:54:00
"Kamera menghitam sendiri, kembali dari story ngefreez, edit sorotan loading nya lama bener, dan bio gua nda bisa di update !!! Makin kesini, makin yakin buat pindah apk",1,2023-11-12 00:22:51
"sering ngebug ,mengirim file selalu tidak bisa ,sinyal sudah bagus tapi tidak bisa terkirim. sering keluar sendiri min!! kurangnya menindak lanjuti kekerasan dalam negara yang beradar di Instagram dan mencari kebenaran dan membebaskan yang sudah menjadi hak milik!!",1,2023-11-11 23:04:22
"Mantap instagram !!!! Beberapa hari yang lalu komplain tentang reels ig dari akun luar negeri gak ada malah di ganti reels akun ig lokal , tapi setelah di upgrade versi terbaru reels ig akun luar negri balik lagi Thanks developer 🤝👍👍👍🤙👍👍👍🤝",5,2023-11-11 21:06:21
"maaf coba dong tolong diperbaiki lagi fitur hapus pesan dm 😭😭, kok aku pencet hapus pesan dm malah cmn ada tulisan ""hapus untuk saya""? Trs kl dipencet, si penerima pesannya malah tetep msh ada 🥹, trs di akun ku pesannya ilang. Tolong diperbaiki lagi yaa fitur hapus pesannya, diubah kyk yg dulu aja. Terimakasih",3,2023-11-11 19:59:26
Saya sangat kecewa sekarang udh gk bisa remix sama vidio org lain terus kalo kita buat vidio jedag jedug terus pake suara kita ituloh sekarang udh gk bisa kita masukin kegaleri bisa sih tapi gk pake lagu tolong lah diubah ig nya udh gk kaya dulu,2,2023-11-11 16:06:05
"Catatan di ig kenapa ilang? Musik lagu untuk story juga ga lengkap🤨🤨🤨ketika ngetik judul lagu atau penyanyi nya malah katanya""pencarian ga ada hasil""😒... Hadeeeh...Kemarin juga masih baik baik aja... Tolong di perbaiki yaa",1,2023-11-11 12:24:18
"Gatau kenapa ig makin banyak ngebug, ntah dari post pake lagu lebih dari 1 jadi gabisa, padahal dulu bisa, tema dm ga ada :(. Padahal dulu lancar lancar aja kenapa skrg jd gini ya? Terus juga klo mau post story malah gbs milih foto, cm beberapa doang yang bisa kepilih, aneh bgt makin hari makin aneh. Padahal Koneksi internet juga udah bagus, tolong di perbaiki dong, berharap banget ig kaya dulu lagi, lancar lancar aja",2,2023-11-11 07:03:46
saya sangat kecewa pas saya bangun tidur Ig sudah tidak bisa di gunakan padahal awalnya gapapa trus saya coba login akun ternyata ga bisa semua padahal hanya 1 perangkat saja yang saya pke,1,2023-11-11 06:55:02
"Aplikasi super jelek,,musik pada gak ada,filter pada gak ada,tugas pekerja instagram apa aj sampe sampe gak ada,musik nya ilang,filter jadi ilang",1,2023-11-10 16:51:06
"ini kenapa setelah di update malah kaya gini ya? dulu sebelum di update bisa2 aja tuh lihat reels yang disarankan kenapa sekarang ga bisa di klik?? kesel banget karena saya biasa lihat2 reels yang disarankan karena ada yang bagus eh inj malah ga bisa di klik, TOLONG DIPERBAIKI LAGIII!!!",2,2023-11-10 06:22:56
"Bentar deh, saya mau buat sorotan, tapi story yang saya mau buat itu tidak ada di pilihan sorotan, malah ada story yang dulu sekali, padahal story yg saya mau tersebut sudah lewat 24 jam, banyak story yang lain yang sudah-sudah menghilang semua gak bisa dibuat sorotan, ini gmna? Saya butuh solusi! Masa cuma itu-itu saja (pilihannya gak berubah dari zaman kapan) capek saya. Gak bisa dirubah gitu pilihannya akan selalu bgtu? 🤦",1,2023-11-09 20:50:25
"Aplikasi yang sangat bagus , dapat digunakan untuk mengisi waktu luang , untuk melihat2 foto , mencari informasi dan bahkan juga juga bisa digunakan sebagai lapak jual beli sesuatu dengan mudah dan efisien . Sangat rekomended",5,2023-11-09 12:34:45
"setiap abis update story dengan musik pasti enah kapan musiknya bakal diapus dan story yg memakai musik tersebut menjadi jelek, kenapa harus dihapus²? musik yg tersedia juga tidak lengkap, dan sekarang bertambah lgi masalah ny, mshl kmrn blm selesai udh muncul lgi yg baru, sg temen ga bisa di repost lah, ngbug pula, dan msh bnyk yg laen, gaada mau perkembangan kah?",2,2023-11-09 01:04:22
"Ini knp update baru bikin setiap buat sg nyari musik malah ga ada semua lagu yg diinginkan. Tolong dong dibantu saya gasuka fiturnya seperti ini, mana sorotan yg biasanya akun online nongol skrg ga ada lagi. Pliss lah jan kek gini bikin saya kecewa",1,2023-11-08 19:54:00
"Saya sedang liat reels belom sampai selesai nontonnya & belom saya scroll ke bawah tiba2 keluar sendiri, itu sebelum diupdate... Saya coba update tapi hasil masih sama .... gimana dong biar bisa lita reels kayak dulu lagi... jadi agak kecewa....",1,2023-11-08 19:33:15
"ini gimana setiap kali saya masuk ke fiitur video reel kok lansung keluar dari instagram, terus kayak ada semacam info instagram selalu berhenti, tapi ketika nonton video reel yang saya simpan atu cuma scroll scroll biasa di beranda aman gak ada masalah, kasusnya cuma di bagian vitur reel aja. udah berbagai cara saya lakukin seperti mengahpus change bahkan menghapus data juga tapi tetap aja. aplikasi udah saya update ke versi terbaru juga tetap aja gak bisa. tolong dibantu🙏",1,2023-11-08 18:45:48
"Bagaimana pembaruan otomatis di halaman utama tidak terkendali, lebih banyak konten yang sudah berlalu dan tidak real time, scrol lihat konten kembali ke halaman awal dan pembaruan isi dari timeline cepat berubah.",5,2023-11-08 14:35:31
"Awalnya bagus, tapi lama kelamaa minta update mulu baru juga 1 bulan lalu di update ini minta update lagi, terus banyak banget konten2 kek di tiktok bosen banget liatnya dikit2 org joget terus yg lewat reels aduhh. Kebanyakan iklan aplikasi gak jelas, bikin penggunaan data lebih banyak krn kebanyakan iklan gak jelas setelah di update malah banyak bug makin jelek",1,2023-11-08 12:47:20
suara audio di reels yg sudah di-posting tiba-tiba banyak yang tidak tersedia... sayang banget udah upload enggak ada musik nya... jadi engga seruuu..jadi malas upload lagi..,1,2023-11-08 08:24:44
"Sangat bagus untuk di gunakan dan memudahkan komunikasi lebih jauh , bisa di pake buat video dan apa lgi banyak efek efek terbaru ,saya sering gunakan efek",5,2023-11-07 16:32:38
